year_radica,count_a,count_de,tipo_predio_zona,categoria_ruralidad_2024,valor
2021,1,2,URBANO,Ciudades y aglomeraciones,170000000
2022,1,4,URBANO,Ciudades y aglomeraciones,4500000.0
2022,1,4,URBANO,Ciudades y aglomeraciones,4500000.0
2022,1,1,URBANO,Ciudades y aglomeraciones,3500000.0
2021,1,5,URBANO,Ciudades y aglomeraciones,1406000.0
2021,1,1,URBANO,Ciudades y aglomeraciones,1406000.0
2022,1,1,URBANO,Ciudades y aglomeraciones,7152609.0
2023,2,3,URBANO,Ciudades y aglomeraciones,210000000
2022,2,1,URBANO,Ciudades y aglomeraciones,744000000
2022,4,1,URBANO,Ciudades y aglomeraciones,1200000000
2022,1,1,URBANO,Ciudades y aglomeraciones,110000000
2023,6,2,URBANO,Ciudades y aglomeraciones,220000000
2021,1,1,URBANO,Ciudades y aglomeraciones,2500000000
2023,1,1,URBANO,Ciudades y aglomeraciones,1663000060
2021,1,4,URBANO,Ciudades y aglomeraciones,850000000
2023,2,4,URBANO,Ciudades y aglomeraciones,1362499970
2021,1,1,URBANO,Ciudades y aglomeraciones,214038000
2023,2,2,URBANO,Ciudades y aglomeraciones,321000000
2023,1,3,URBANO,Ciudades y aglomeraciones,320000000
2023,2,4,URBANO,Ciudades y aglomeraciones,422000000
